Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
yahoo-mail-102855.weeblysite.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
v2dd1p.xyz,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
uopnuoldlognios.godaddysites.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
zedfzedzed3333.hyperphp.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
bafybeibhjr7hn4dzek5rqg2o4ybilhijlugkg6o574jt5gnawyznc66kki.ipfs.cf-ipfs.com,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
ythgcyxujh.duckdns.org,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
babyfrogcoin.co,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
sites.google.com,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1,1,1
heroic-meringue-5d77ee.netlify.app,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
ch0.link,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
entregadelivery.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
legitimate-hsanet.youdontcare.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
potion-mmorpg.shop,0,0,0,3,1,0,0,1,1,1,1,1,1,1,1,1,1
metaoperationsaccnotices.web.app,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
cs-onlinehomeupdatesintrl.vantechddns.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
1398qjiqi10912i.wixsite.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
api-fixdapps.pages.dev,0,0,0,2,0,0,0,1,1,1,1,1,1,1,1,1,1
kopertais02.or.id,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1
sebbkontakotnews.tempurl.host,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1,1
cseogo2money.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
tioply.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
